Timestamp,Latitude,Longitude,Tree_no,Tree_sp,Usnea,Evernia,Hypogymnia,Melanelixia,Flavoparmelia,Parmelia, Leafy_Xanthoria,Cushion_Xanthoria,Physcia
07/02/2020 13:09,52.4601873,-1.923277,2,NA,1,1,2,1,0,0,0,0,1
28/01/2019 13:09,52.4639,-1.9231,1,NA,0,0,0,0,0,0,3,1,2
28/01/2019 13:17,52.495,-1.9231,1,oak,0,1,0,0,2,1,3,2,1
28/01/2019 13:20,52.461283,-1.923017,1,Oak,0,0,0,0,0,0,0,0,0
28/01/2019 13:16,52.4615137,-1.9230051,1,Oak,2,2,1,1,1,2,2,2,1
28/01/2019 13:13,52.4599,-1.923,1,Oak,1,1,1,1,1,1,2,2,2
03/02/2020 09:09,52.4598817,-1.9229219,1,Oak,0,0,0,0,3,1,0,0,0
03/02/2020 10:10,52.4636,-1.9229,2,Oak,0,0,0,0,0,0,2,0,2
07/02/2020 12:58,52.4636,-1.9229,2,Oak,0,0,0,0,0,0,2,0,2
07/02/2020 13:11,52.46,-1.9228,2,Oak,3,1,3,0,3,0,2,1,0
03/02/2020 09:36,52.4612,-1.9228,2,Oak,0,0,0,2,2,0,0,0,0
03/02/2020 09:36,52.4612,-1.9228,2,Oak,0,0,0,2,2,0,0,0,0
28/01/2019 13:12,52.459825,-1.922789,1,Maple,0,0,0,0,0,0,0,0,0
07/02/2020 13:12,52.461752,-1.922783,1,oak,1,1,0,0,0,0,1,0,1
07/02/2020 13:13,52.461752,-1.922783,2,oak,1,0,1,0,0,0,0,0,0
07/02/2020 12:58,52.4597534,-1.9227449,1,NA,1,2,1,0,1,1,2,0,3
07/02/2020 13:07,52.4597534,-1.9227449,1,NA,0,0,1,0,1,1,2,0,3
28/01/2019 13:08,52.462031,-1.922742,1,Pine,0,0,2,0,1,0,1,0,0
07/02/2020 12:47,52.462031,-1.922742,1,Pine ,0,0,2,0,1,0,1,0,0
07/02/2020 13:07,52.46,-1.9226,2,Oak,3,1,3,0,0,0,1,0,1
07/02/2020 13:09,52.46,-1.9226,1,Oak,3,1,3,0,3,0,1,0,1
03/02/2020 09:07,52.4610218,-1.9225772,1,Oak,0,0,2,0,0,0,0,0,0
28/01/2019 13:13,52.46,-1.9225,1,NA,0,0,0,0,1,0,0,1,0
28/01/2019 13:18,52.46,-1.9225,1,NA,0,0,2,0,1,0,0,2,3
